Metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.9119274175702589,0.9089400309803054,0.8153352511617614,0.9377074574020801
precision,0.9242685025817556,0.9237623762376238,1.0,0.9283720930232559
recall,0.8850953614315987,0.8787379326583471,0.6070167176830704,0.9399576171415116
f1,0.904257878277604,0.9006878243031254,0.7554578754578755,0.934128934128934
sensitivity,0.8850953614315987,0.8787379326583471,0.6070167176830704,0.9399576171415116
specificity,0.9357127948236277,0.9357127948236277,1.0,0.9357127948236277
latency_ms,0.0880512945365526,0.05866273574845984,0.06745090577475238,0.23075555061497344
tamper_resistance,0.8565,0.867,0.5765,0.919
detection_rate,0.8850953614315987,0.8787379326583471,0.6070167176830704,0.9399576171415116
true_positives,3759,3732,2578,3992
true_negatives,4483,4483,4791,4483
false_positives,308,308,0,308
false_negatives,488,515,1669,255
