Metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.9170378619153675,0.9175946547884187,0.8207126948775055,0.9398663697104677
precision,0.9253365973072215,0.9254278728606357,1.0,0.9289044289044289
recall,0.8957345971563981,0.8969194312796208,0.6184834123222749,0.9443127962085308
f1,0.9102950030102348,0.9109506618531888,0.7642752562225475,0.936545240893067
latency_ms,0.08957423186780085,0.06287798849670818,0.07188280334982415,0.2364464485831144
tamper_resistance,0.8791469194312796,0.8779620853080569,0.5983412322274881,0.9312796208530806
detection_rate,0.8957345971563981,0.8969194312796208,0.6184834123222749,0.9443127962085308
true_positives,756,757,522,797
true_negatives,891,891,952,891
false_positives,61,61,0,61
false_negatives,88,87,322,47
