Metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.9170378619153675,0.9175946547884187,0.816815144766147,0.9398663697104677
precision,0.9253365973072215,0.9254278728606357,1.0,0.9289044289044289
recall,0.8957345971563981,0.8969194312796208,0.6101895734597157,0.9443127962085308
f1,0.9102950030102348,0.9109506618531888,0.7579102281089036,0.936545240893067
sensitivity,0.8957345971563981,0.8969194312796208,0.6101895734597157,0.9443127962085308
specificity,0.9359243697478992,0.9359243697478992,1.0,0.9359243697478992
latency_ms,0.08871653563195718,0.06020666496259863,0.06848971933989323,0.2308542319554794
tamper_resistance,0.8803317535545023,0.8708530805687204,0.5947867298578199,0.9324644549763034
detection_rate,0.8957345971563981,0.8969194312796208,0.6101895734597157,0.9443127962085308
true_positives,756,757,515,797
true_negatives,891,891,952,891
false_positives,61,61,0,61
false_negatives,88,87,329,47
