Metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.9073813708260106,0.9077328646748682,0.8135325131810194,0.9330404217926186
precision,0.9170844581565754,0.9171483622350675,1.0,0.9215041986126323
recall,0.8840148698884759,0.8847583643122676,0.6055762081784387,0.9382899628252788
f1,0.9002460723074011,0.9006622516556292,0.7543412827043298,0.9298213298950083
latency_ms,0.0884888251762189,0.05889986437108689,0.06728913955822562,0.23455456396816904
tamper_resistance,0.864,0.87,0.595,0.9255
detection_rate,0.8840148698884759,0.8847583643122676,0.6055762081784387,0.9382899628252788
true_positives,2378,2380,1629,2524
true_negatives,2785,2785,3000,2785
false_positives,215,215,0,215
false_negatives,312,310,1061,166
