Metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.9056750166260252,0.9043449346043005,0.8153402793172245,0.9336067390822435
precision,0.9179818268770923,0.9177458033573141,1.0,0.9226432115471358
recall,0.8831377961812744,0.8803772716816195,0.6167471819645732,0.9411088106740281
f1,0.9002227693750733,0.8986732417517905,0.7629482071713146,0.9317845347910261
sensitivity,0.8831377961812744,0.8803772716816195,0.6167471819645732,0.9411088106740281
specificity,0.9266310160427808,0.9266310160427808,1.0,0.9266310160427808
latency_ms,0.09011133524193464,0.05941707050422427,0.06695759320200956,0.23120468615745657
tamper_resistance,0.868,0.847,0.593,0.919
detection_rate,0.8831377961812744,0.8803772716816195,0.6167471819645732,0.9411088106740281
throughput_sps,11097.383001984806,16830.18014038415,14934.825942489038,4325.171849323907
true_positives,3839,3827,2681,4091
true_negatives,4332,4332,4675,4332
false_positives,343,343,0,343
false_negatives,508,520,1666,256
