Metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.9170378619153675,0.9175946547884187,0.8190423162583519,0.9398663697104677
precision,0.9253365973072215,0.9254278728606357,1.0,0.9289044289044289
recall,0.8957345971563981,0.8969194312796208,0.6149289099526066,0.9443127962085308
f1,0.9102950030102348,0.9109506618531888,0.7615553925165077,0.936545240893067
latency_ms,0.09100500884194151,0.0619744935917164,0.07107316252914463,0.23708577145446913
tamper_resistance,0.8815165876777251,0.8732227488151659,0.5864928909952607,0.9218009478672986
detection_rate,0.8957345971563981,0.8969194312796208,0.6149289099526066,0.9443127962085308
true_positives,756,757,519,797
true_negatives,891,891,952,891
false_positives,61,61,0,61
false_negatives,88,87,325,47
