Metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.9170378619153675,0.9175946547884187,0.816815144766147,0.9398663697104677
precision,0.9253365973072215,0.9254278728606357,1.0,0.9289044289044289
recall,0.8957345971563981,0.8969194312796208,0.6101895734597157,0.9443127962085308
f1,0.9102950030102348,0.9109506618531888,0.7579102281089036,0.936545240893067
latency_ms,0.11305540866469488,0.07623712841280318,0.0851122467448823,0.24079745490195226
tamper_resistance,0.8708530805687204,0.8815165876777251,0.5983412322274881,0.9170616113744076
detection_rate,0.8957345971563981,0.8969194312796208,0.6101895734597157,0.9443127962085308
true_positives,756,757,515,797
true_negatives,891,891,952,891
false_positives,61,61,0,61
false_negatives,88,87,329,47
