Metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.9170378619153675,0.9175946547884187,0.8173719376391982,0.9398663697104677
precision,0.9253365973072215,0.9254278728606357,1.0,0.9289044289044289
recall,0.8957345971563981,0.8969194312796208,0.6113744075829384,0.9443127962085308
f1,0.9102950030102348,0.9109506618531888,0.7588235294117647,0.936545240893067
latency_ms,0.09091487175106737,0.062072330168998054,0.06880141578963181,0.2330844280183448
tamper_resistance,0.8838862559241706,0.8803317535545023,0.6042654028436019,0.9312796208530806
detection_rate,0.8957345971563981,0.8969194312796208,0.6113744075829384,0.9443127962085308
true_positives,756,757,516,797
true_negatives,891,891,952,891
false_positives,61,61,0,61
false_negatives,88,87,328,47
