Metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.9056750166260252,0.9043449346043005,0.8141210374639769,0.9333850587452893
precision,0.9179818268770923,0.9177458033573141,1.0,0.9226083032490975
recall,0.8831377961812744,0.8803772716816195,0.6142167011732229,0.9406487232574189
f1,0.9002227693750733,0.8986732417517905,0.7610089781958101,0.9315411778106846
sensitivity,0.8831377961812744,0.8803772716816195,0.6142167011732229,0.9406487232574189
specificity,0.9266310160427808,0.9266310160427808,1.0,0.9266310160427808
latency_ms,0.0884762044968771,0.06129217898335644,0.06749661157464695,0.26900203813076334
tamper_resistance,0.851,0.8645,0.594,0.917
detection_rate,0.8831377961812744,0.8803772716816195,0.6142167011732229,0.9406487232574189
throughput_sps,11302.47398932327,16315.295304993882,14815.558539469253,3717.4439530227446
true_positives,3839,3827,2670,4089
true_negatives,4332,4332,4675,4332
false_positives,343,343,0,343
false_negatives,508,520,1677,258
