Metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.9119274175702589,0.9089400309803054,0.8154458951095375,0.9377074574020801
precision,0.9242685025817556,0.9237623762376238,1.0,0.9283720930232559
recall,0.8850953614315987,0.8787379326583471,0.6072521780080057,0.9399576171415116
f1,0.904257878277604,0.9006878243031254,0.7556401992382069,0.934128934128934
sensitivity,0.8850953614315987,0.8787379326583471,0.6072521780080057,0.9399576171415116
specificity,0.9357127948236277,0.9357127948236277,1.0,0.9357127948236277
latency_ms,0.09117392370937724,0.0613463033113524,0.06737395656085116,0.23319935424055085
tamper_resistance,0.8735,0.8575,0.581,0.923
detection_rate,0.8850953614315987,0.8787379326583471,0.6072521780080057,0.9399576171415116
throughput_sps,10968.048311571678,16300.900722977152,14842.530423410935,4288.176540010807
true_positives,3759,3732,2579,3992
true_negatives,4483,4483,4791,4483
false_positives,308,308,0,308
false_negatives,488,515,1668,255
