Metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.9170378619153675,0.9175946547884187,0.8201559020044543,0.9398663697104677
precision,0.9253365973072215,0.9254278728606357,1.0,0.9289044289044289
recall,0.8957345971563981,0.8969194312796208,0.6172985781990521,0.9443127962085308
f1,0.9102950030102348,0.9109506618531888,0.7633699633699633,0.936545240893067
latency_ms,0.08838824546151278,0.06018728349681421,0.069597648883981,0.233158767887107
tamper_resistance,0.8744075829383886,0.8732227488151659,0.5936018957345972,0.9300947867298578
detection_rate,0.8957345971563981,0.8969194312796208,0.6172985781990521,0.9443127962085308
true_positives,756,757,521,797
true_negatives,891,891,952,891
false_positives,61,61,0,61
false_negatives,88,87,323,47
