Metric,ZKP Framework,Regex Baseline,LLM Simulator,Ensemble
accuracy,0.9128339903635567,0.9132720105124835,0.8180026281208935,0.9399912395970215
precision,0.926491646778043,0.9265617548879351,1.0,0.9305993690851735
recall,0.888329519450801,0.8892448512585812,0.6196796338672769,0.9450800915331807
f1,0.9070093457943926,0.9075198505371321,0.7651879061881887,0.9377838328792006
sensitivity,0.888329519450801,0.8892448512585812,0.6196796338672769,0.9450800915331807
specificity,0.9353212935741285,0.9353212935741285,1.0,0.9353212935741285
latency_ms,0.08920316783889992,0.05975111085387943,0.0677303008431674,0.23468063945995837
tamper_resistance,0.8745,0.869,0.5945,0.9235
detection_rate,0.888329519450801,0.8892448512585812,0.6196796338672769,0.9450800915331807
throughput_sps,11210.364208208284,16736.090521320803,14764.440546566382,4261.109916442944
true_positives,1941,1943,1354,2065
true_negatives,2227,2227,2381,2227
false_positives,154,154,0,154
false_negatives,244,242,831,120
